COUNTRY,Country,Series,Pay period,TIME,Time,Unit Code,Value
USA,United States,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,8.65597157509853
USA,United States,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,8.44958346082443
USA,United States,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,8.29918479775503
USA,United States,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,8.19805487205278
USA,United States,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,7.83020298698772
USA,United States,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,7.25
DEU,Germany,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,12.7116912176516
DEU,Germany,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,12.6494875366495
DEU,Germany,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,12.9598387187318
DEU,Germany,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,12.7391748517034
DEU,Germany,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,13.0548246526802
DEU,Germany,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,13.2628981016807
DEU,Germany,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,13.088476829664
DEU,Germany,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,13.55
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,2.14829769647319
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,2.1575031657351
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,2.15374099725442
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,2.21189252915395
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,2.27669928333354
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,2.23605730771214
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,2.2550088880611
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,2.28773011674076
BRA,Brazil,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,2.22354576136589
